corp_name,corp_code,stock_code
한빛네트,00260985,036720
엔플렉스,00264529,040130
동서정보기술,00358545,055000
애드모바일,00231567,032600
리더컴,00359614,056140
허메스홀딩스,00153551,012400
유티엑스,00344746,045880
글로포스트,00261188,037830
쏠라엔텍,00268020,030390
보홍,00269287,041320
동북아1호선박투자회사,00475286,078420
에듀아크,00250775,046350
데코,00114321,013650
엘앤씨피,00191108,015390
희훈디앤지,00167378,019640
퓨쳐인포넷,00225210,058690
쓰리디넷,00223346,035400
제일저축은행,00174129,024100
제일창업투자,00114826,026540
현대DSF,00173333,016510
네프로아이티,00687599,950030
자강,00256292,036790
케이엠에스,00271431,038830
에버리소스,00154727,020070
제이에스,00246189,037110
태창기업,00154204,007490
에이치비이에너지,00152631,017300
코어비트,00358095,056850
동북아8호선박투자회사,00510215,082110
한국통신데이타,00347619,045760
케너텍,00372013,062730
다휘,00353735,055250
코오롱아이넷,00186540,022520
캠브리지코오롱,00128759,004620
네오세미테크,00535588,089240
디에이치패션,00264981,045260
핸디소프트,00231521,032380
케이엠에이치,00159908,009690
씨엘엘씨디,00259493,035710
현대푸드시스템,00359641,114410
메리츠종합금융,00161639,012420
제넥셀세인,00211271,034660
쓰리디월드,00388272,065340
스톰이앤에프,00264796,043680
소예,00134909,035010
엠엔에프씨,00236368,048640
하이트맥주,00684547,103150
보광티에스,00251385,066690
아인스엠앤엠,00262682,040740
씨엔씨엔터프라이즈,00234555,038420
아이알디,00507257,084810
바이나믹,00417963,067850
코크렙제7호위탁관리부동산투자회사,00543523,086720
엔빅스,00300566,054170
선팩테크,00299376,054010
마이크로닉스,00112068,001190
블루스톤디앤아이,00257194,033720
신지소프트,00477372,078700
맥쿼리센트럴오피스기업구조조정부동산투자회사,00465410,076850
테스텍,00331760,048510
중앙디자인,00200761,030030
에코페트로시스템,00268297,042870
한림창업투자,00161301,021060
헤쎄나,00237260,036270
미래에셋굿라이프혼합형자녀를위한투자회사10-1,00297970,037510
일공공일안경콘택트,00107358,032030
지앤알,00267474,043630
셀런,00134051,013240
한국베트남15-1유전해외자원개발투자회사,00596066,093820
에이치원바이오,00347363,052310
씨앤중공업,00150226,008400
FnC코오롱,00152914,001370
제너비오믹스,00158839,017010
케드콤,00159281,011050
지엔텍홀딩스,00210537,065410
동부씨엔아이,00240370,044640
아이피에스,00247887,051820
에스브이에이치,00268358,046240
제이콤,00316488,060750
옥션,00264130,043790
네이쳐글로벌,00540304,088020
GB블루오션베트남주식혼합형투자회사1호,00617299,094950
엠씨티티코어,00262275,052210
에이스앤파트너스,00200798,032930
지앤디윈텍,00335924,061050
인터피온반도체,00111591,014010
솔로몬저축은행,00189343,007800
엠트론스토리지테크놀로지,00252588,046320
에스티앤아이,00267997,031800
유퍼트,00299686,060670
엑스로드,00463050,074140
선우중공업,00238913,068770
남양,00107446,003020
엘지데이콤,00114303,015940
LG파워콤,00318617,045820
동산진흥,00267775,031960
